#SampleID	BarcodeSequence	LinkerPrimerSequence	SP	family_or_tribe	type	Code	Main_Diet	Diet_Category	Location	Basin	Heb	Lat	Lon	Date	Time	T	Conductivity  	ConductivityA	Salinity	PercentO	pH	Sampling site
AS157	AA	AA	Garra rufa	Cyprinidae	swab	Garra rufa	aufwuchs	C	SnirHydrometricMaayanBaruch	N	שניר_הידרומטרית_מעיין_ברוך			1/10/2017	15:21	23.0	322	310	0.15	9.5	6.75	S.1
AS167	AA	AA	Garra rufa	Cyprinidae	swab	Garra rufa	aufwuchs	C	SnirDagAlHadanUpStrerm	N	שניר_שמורה_מעל_יוקי	792989	258339	1/10/2017	10:30	20.15	309	280	0.15	9.9	6.6	S.2
AS168	AA	AA	Garra rufa	Cyprinidae	swab	Garra rufa	aufwuchs	C	SnirDagAlHadanUpStrerm	N	שניר_שמורה_מעל_יוקי	792989	258339	1/10/2017	10:30	20.15	309	280	0.15	9.9	6.6	S.2
AS169	AA	AA	Garra rufa	Cyprinidae	swab	Garra rufa	aufwuchs	C	SnirDagAlHadanUpStrerm	N	שניר_שמורה_מעל_יוקי	792989	258339	1/10/2017	10:30	20.15	309	280	0.15	9.9	6.6	S.2
AS170	AA	AA	Garra rufa	Cyprinidae	swab	Garra rufa	aufwuchs	C	SnirDagAlHadanUpStrerm	N	שניר_שמורה_מעל_יוקי	792989	258339	1/10/2017	10:30	20.15	309	280	0.15	9.9	6.6	S.2
AS171	AA	AA	Garra rufa	Cyprinidae	swab	Garra rufa	aufwuchs	C	SnirDagAlHadanUpStrerm	N	שניר_שמורה_מעל_יוקי	792989	258339	1/10/2017	10:30	20.15	309	280	0.15	9.9	6.6	S.2
AS70	AA	AA	OH	Tilapiinae	swab	tilapine hybrid	phytoplankton	C	TelSaharonSpring	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.2
AS71	AA	AA	OH	Tilapiinae	swab	tilapine hybrid	phytoplankton	C	TelSaharonSpring	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.2
AS72	AA	AA	OH	Tilapiinae	swab	tilapine hybrid	phytoplankton	C	TelSaharonSpring	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.2
AS73	AA	AA	OH	Tilapiinae	swab	tilapine hybrid	phytoplankton	C	TelSaharonSpring	S	תל_סהרון	251421	706367	14/8/2017	07:10	30.44	3080	3394	1.59	7.39	7.48	T.2
