SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
74	1109	756	665
75	1109	500	447
76	1109	690	626
77	1109	542	479
78	1109	743	632
79	1109	440	391
80	1109	369	338
81	1109	70	68
82	1109	119	98
83	1109	40	31
84	1109	10	9
85	1109	75	70
86	1109	266	239
87	1109	205	181
88	1109	1073	938
89	1109	63	55
90	1109	811	729
91	1109	122	91
92	1109	197	176
93	1109	304	284
94	1109	183	169
95	1109	237	209
96	1109	253	231
0	1110	624733	565182
1	1110	12	11
2	1110	87	76
3	1110	21	20
4	1110	37	35
5	1110	41	34
6	1110	6	6
7	1110	2	2
8	1110	5	4
9	1110	538	476
10	1110	855	761
11	1110	609	532
12	1110	339	289
13	1110	53	46
14	1110	229	200
15	1110	702	619
16	1110	387	321
17	1110	59	54
18	1110	305	282
19	1110	377	347
20	1110	95	84
21	1110	191	168
22	1110	208	178
23	1110	228	199
24	1110	131	116
25	1110	50	44
26	1110	182	158
27	1110	171	116
28	1110	165	146
29	1110	219	188
30	1110	256	224
31	1110	412	368
32	1110	258	224
33	1110	41	32
34	1110	265	238
35	1110	289	254
36	1110	88	74
37	1110	474	411
38	1110	166	145
39	1110	297	262
40	1110	44	40
41	1110	207	181
42	1110	428	383
43	1110	863	748
44	1110	235	198
45	1110	93	83
46	1110	79	75
47	1110	26	20
48	1110	45	41
49	1110	148	135
50	1110	46550	42516
51	1110	185	167
52	1110	153	133
53	1110	401	357
54	1110	51	38
55	1110	157	147
56	1110	96	84
57	1110	42	38
58	1110	46	42
59	1110	24	15
60	1110	72	68
61	1110	132	109
62	1110	63	54
63	1110	131	112
64	1110	89	79
65	1110	40	35
66	1110	237	213
67	1110	133	110
68	1110	90	84
69	1110	111	95
70	1110	92	81
71	1110	234	208
72	1110	131	103
73	1110	27	23
74	1110	737	637
75	1110	524	461
76	1110	686	627
77	1110	500	448
78	1110	775	665
79	1110	430	380
80	1110	370	331
81	1110	57	48
82	1110	98	86
83	1110	35	32
84	1110	21	19
85	1110	79	69
86	1110	259	231
87	1110	208	173
88	1110	1008	891
89	1110	67	55
90	1110	813	721
91	1110	131	105
92	1110	223	204
93	1110	318	289
94	1110	149	135
95	1110	194	159
96	1110	288	249
0	1111	626206	563705
1	1111	6	6
2	1111	85	73
3	1111	28	23
4	1111	30	28
5	1111	38	30
6	1111	9	8
7	1111	2	2
8	1111	8	6
9	1111	543	481
10	1111	863	765
11	1111	608	535
12	1111	330	275
13	1111	58	54
14	1111	249	215
15	1111	680	596
16	1111	327	290
17	1111	68	55
18	1111	310	288
19	1111	373	335
20	1111	102	86
21	1111	172	145
22	1111	179	156
23	1111	223	199
24	1111	127	115
25	1111	50	41
26	1111	210	178
27	1111	186	122
28	1111	134	118
29	1111	218	193
30	1111	228	195
31	1111	371	318
32	1111	243	203
33	1111	37	33
34	1111	285	238
35	1111	308	267
36	1111	88	78
37	1111	466	400
38	1111	174	145
39	1111	252	222
40	1111	42	36
41	1111	204	178
42	1111	386	332
43	1111	872	744
44	1111	234	207
45	1111	70	61
46	1111	89	82
47	1111	20	18
48	1111	53	48
49	1111	138	126
50	1111	46208	42038
51	1111	202	171
52	1111	172	150
53	1111	415	359
54	1111	42	30
55	1111	164	149
56	1111	118	97
57	1111	52	43
58	1111	38	31
59	1111	22	19
60	1111	81	75
61	1111	141	122
62	1111	73	65
63	1111	90	81
64	1111	62	55
65	1111	35	29
66	1111	254	222
67	1111	141	122
68	1111	108	100
69	1111	133	116
70	1111	81	74
71	1111	245	220
72	1111	115	94
73	1111	23	17
74	1111	693	601
75	1111	499	417
76	1111	672	597
77	1111	518	470
78	1111	622	538
79	1111	445	379
80	1111	381	335
81	1111	55	47
82	1111	98	88
83	1111	38	31
84	1111	10	9
85	1111	81	72
86	1111	244	219
87	1111	227	195
88	1111	1013	892
89	1111	52	40
90	1111	814	701
91	1111	127	100
92	1111	206	176
93	1111	287	261
94	1111	166	145
95	1111	213	178
96	1111	251	218
0	1112	624435	557775
1	1112	3	2
2	1112	87	66
3	1112	19	17
4	1112	24	22
5	1112	31	26
6	1112	12	11
8	1112	6	4
9	1112	528	467
10	1112	818	732
11	1112	547	478
12	1112	335	290
13	1112	82	75
14	1112	245	206
15	1112	689	608
16	1112	313	262
17	1112	41	39
18	1112	339	296
19	1112	404	363
20	1112	89	74
21	1112	157	147
22	1112	219	193
23	1112	221	195
24	1112	127	105
25	1112	50	39
26	1112	182	147
27	1112	262	127
28	1112	143	122
29	1112	189	172
30	1112	182	162
31	1112	336	284
32	1112	220	198
33	1112	37	32
34	1112	245	213
35	1112	254	219
36	1112	60	53
37	1112	450	392
38	1112	152	133
39	1112	232	202
40	1112	30	25
41	1112	199	179
42	1112	407	357
43	1112	832	724
44	1112	241	211
45	1112	79	72
46	1112	92	78
47	1112	21	19
48	1112	49	45
49	1112	155	137
50	1112	46282	41807
51	1112	202	167
52	1112	178	155
53	1112	400	345
54	1112	47	37
55	1112	173	156
56	1112	110	99
57	1112	33	26
58	1112	48	44
59	1112	29	20
60	1112	68	62
61	1112	142	118
62	1112	83	72
63	1112	99	94
64	1112	70	61
65	1112	28	25
66	1112	239	210
67	1112	133	111
68	1112	98	87
69	1112	115	94
70	1112	65	56
71	1112	239	211
72	1112	140	109
73	1112	29	25
74	1112	686	599
75	1112	488	426
76	1112	640	561
77	1112	523	466
78	1112	658	560
79	1112	455	397
80	1112	377	325
81	1112	58	46
82	1112	101	89
83	1112	34	23
84	1112	12	9
85	1112	71	63
86	1112	249	206
87	1112	203	170
88	1112	953	847
89	1112	69	53
90	1112	774	676
91	1112	156	119
92	1112	199	169
93	1112	269	237
94	1112	150	133
95	1112	206	177
96	1112	241	208
0	1113	624127	556340
1	1113	7	6
2	1113	123	99
3	1113	27	20
4	1113	28	27
5	1113	39	34
6	1113	5	3
8	1113	11	10
9	1113	513	469
10	1113	856	758
11	1113	628	556
12	1113	393	347
13	1113	53	45
14	1113	264	228
15	1113	603	536
16	1113	319	280
17	1113	42	37
18	1113	298	279
19	1113	408	376
20	1113	94	83
21	1113	145	125
22	1113	200	166
